arbID,Zoning District
476, R3-1
477, C8-1
478, M1-5
479, C8-1
480, R4B
481, R4A
482, R4A
483, R4B
484, R2
485, R4
486, R4B
487, R4
488, R3A
489, R5
490, R6B
491, R3A
492, R5B
493, R2A
494, R3X
495, R7B
496, M1-1
497, C8-1
498, R6A
499, R6A
500, C4-3
501, C8-1
502, R6
503, R2A
504, R7X
505, M1-1
506, R4A
507, R2A
508, R6A
509, C8-1
510, M1-1
511, M1-2
512, M1-1
513, M1-2
514, M3-1
515, M1-2
516, C4-2F
517, R4B
518, R5
519, M1-1
520, R7A
521, C4-2
522, R4A
523, R4
524, R6B
525, R5
526, R5
527, C4-4
528, R5B
529, R2
530, R2
531, M1-1
532, R4
533, R7-1
534, R4
535, R5
536, R5
537, R4
538, R5
539, R7-1
540, R6
541, M1-2
542, M1-1
543, R4-1
544, C6-2
545, R6B
546, C4-3
547, R7-2
548, R6
549, M1-1
550, R3-1
551, C4-7
552, C6-2
553, R4-1
554, R4A
555, R4-1
556, R3A
557, C3
558, M2-1
559, R4A
560, C3
561, C3
562, R3-1
563, R6A
564, M3-1
565, M2-1
566, C8-1
567, C3
568, C3
569, R3-2
570, M3-1
571, M3-1
572, M1-2
573, M3-1
574, C3
575, R5
576, C8-1
577, R3-2
578, R7-1
579, R9
580, M3-1
581, R8
582, R8
583, M3-2
584, R8B
585, R6
586, M1-5\/R10
587, R8
588, R8B
589, M1-1
590, R6
591, C8-2
592, M1-1
593, R4
594, C3
595, M3-1
596, R10
597, M3-2
598, R9
599, R4
600, M1-1
601, R4A
602, M2-1
603, R4
604, R4
605, C3A
606, R4A
607, C3A
608, M2-1
609, M3-1
610, R3-2
611, R7-2
612, M3-1
613, M2-1
614, M1-1
615, M1-1
616, C5-P
617, C3
618, R3-1
619, R6
620, R5B
621, R7-2
622, R3-2
623, R2
624, C3
625, M1-1
626, R5B
627, R2A
628, R9
629, R8
630, R8B
631, C1-8X
632, R8B
633, C1-9
634, R2A
635, R2
636, M1-1
637, M2-1
638, M1-1
639, R4B
640, R4
641, R6
642, R5B
643, R6B
644, R6
645, R6A
646, R5B
647, R5B
648, R4-1
649, R4B
650, R4B
651, R4-1
652, R4-1
653, R6B
654, R4-1
655, R4B
656, R4B
657, R5B
658, R6B
659, R5B
660, R4-1
661, R5A
662, R4
663, R4A
664, R4
665, R4-1
666, M3-1
667, R4
668, R4
669, R4
670, R7B
671, R5B
672, R4-1
673, R3A
674, R7X
675, M1-1
676, R5
677, R4B
678, R4
679, R4A
680, R4A
681, R6A
682, R7-2
683, M1-2
684, C4-2A
685, C4-2
686, C8-1
687, R4-1
688, R3A
689, R4-1
690, R4A
691, R3A
692, R3-1
693, R5B
694, R3X
695, R4
696, R6B
697, R5B
698, R6A
699, R5
700, M1-1
701, R6B
702, R6B
703, C8-2
704, C6-2
705, C6-3
706, M1-2\/R6B
707, R6A
708, R6B
709, M1-2\/R6B
710, R6A
711, M3-1
712, M1-5
713, C4-2A
714, R6B
715, R6A
716, C4-6
717, R7A
718, R6B
719, R2
720, R5
721, R4B
722, R3-2
723, R4B
724, R2A
725, R3X
726, R4
727, R3-1
728, M1-5\/R7X
729, R5
730, R5A
731, C8-1
732, R6
733, C8-1
734, C3
735, R4A
736, R6A
737, R4A
738, R6A
739, R4
740, R3-2
741, R4-1
742, R7B
743, M1-2\/R6A
744, M1-2\/R5B
745, M1-2\/R5B
746, M1-2\/R5B
747, M1-2
748, M1-2\/R5D
749, M1-2\/R5B
750, M1-2\/R5B
751, M1-3\/R7X
752, M1-1
753, M1-2\/R6A
754, M1-2\/R5B
755, M1-2\/R5B
756, R7-2
757, R3-2
758, C4-3
759, M2-1
760, M2-1
761, C4-4
762, M1-4\/R8A
763, M1-4\/R6A
764, C4-4
765, R5B
766, R5
767, R4-1
768, R5B
769, R5B
770, R4-1
771, R3-1
772, R5
773, R5D
774, R5D
775, R5B
776, M1-1
777, M1-1
778, M1-1
779, R6B
780, R7A
781, R6B
782, M1-1
783, R6A
784, R6B
785, R6
786, R5B
787, R4-1
788, R4B
789, R4-1
790, R4-1
791, R4
792, R6B
793, R5A
794, R5
795, R5A
796, R5
797, R5
798, R6B
799, R5A
800, R5
801, R5A
802, R5
803, R5B
804, R3X
805, R7A
806, R4-1
807, R4A
808, R2
809, R3-2
810, C6-3X
811, R7-2
812, R3A
813, R3-1
814, R3X
815, R3A
816, R3X
817, M3-1
818, C8-1
819, C8-1
820, R7A
821, R6B
822, R7A
823, R6A
824, R6B
825, C4-3A
826, M3-1
827, R3X
828, R1-2
829, R5
830, R3X
831, C8-1
832, R3-1
833, R3-1
834, C4-1
835, R3-2
836, R3-1
837, R3-2
838, R3-1
839, R3-2
840, R3X
841, R3-2
842, C8-1
843, R3-1
844, R4
845, R3-2
846, R3-2
847, R3-2
848, R3-2
849, R3A
850, C8-1
851, R3X
852, C8-1
853, R3-2
854, R8
855, R8B
856, C6-7
857, C6-5
858, C6-5
859, C6-2
860, M1-5
861, M1-5
862, C2-8
863, M1-5
864, R6
865, R8A
866, R8B
867, C6-2A
868, R8B
869, C6-2A
870, R6
871, C6-2A
872, C6-3A
873, C6-2A
874, C6-3X
875, C6-2
876, C6-2A
877, C4-5A
878, C6-4A
879, R9A
880, R7B
881, R8B
882, M1-5M
883, C6-4
884, C6-4M
885, C6-2M
886, R10
887, R6
888, C6-4
889, C6-4A
890, C6-4
891, C5-4
892, R6B
893, R7A
894, R7B
895, R6A
896, R5B
897, R4-1
898, R4-1
899, M1-1
900, C8-1
901, M1-4\/R7A
902, M1-4\/R6B
903, M1-4\/R6A
904, M1-4\/R6B
905, M1-4\/R6A
906, R5B
907, R7-1
908, R8
909, R6
910, C8-1
911, R7A
912, R5
913, M1-2\/R6A
914, R5
915, M1-1
916, R5
917, C3
918, R1-2
919, R4-1
920, R3A
921, R4B
922, R3X
923, R4B
924, R3A
925, R2
926, M1-1
927, R4-1
928, R4A
929, M1-1
930, R5
931, R4A
932, R6A
933, R5A
934, R5
935, R2
936, M1-1
937, R4-1
938, R4A
939, R4
940, R3A
941, R2A
942, R4-1
943, R1-2
944, R4
945, R3A
946, R5
947, R5
948, R5
949, R8
950, R4B
951, R4-1
952, R4B
953, R5D
954, R3-2
955, R3-1
956, R3-2
957, R3-2
958, R4A
959, R2
960, R3X
961, R5B
962, R3-2
963, R4A
964, R3-2
965, R4
966, R3A
967, R5B
968, R5D
969, R6A
970, R4-1
971, R5
972, R6B
973, M1-2
974, M1-4\/R7A
975, C6-2A
976, R7A
977, R7X
978, R3-2
979, R2
980, R4A
981, C4-2
982, R8B
983, R8B
984, R9A
985, M1-2
986, R8
987, C1-7A
988, R8A
989, C6-3
990, R6A
991, R6B
992, M1-3
993, C2-8
994, C1-9
995, C2-8
996, R8B
997, C1-9
998, C1-9
999, R8B
1000, R8B
1001, C2-8A
1002, C1-9
1003, R8B
1004, R4-1
1005, C4-1
1006, R5
1007, R4A
1008, C4-3A
1009, C8-1
1010, R4-1
1011, C6-2
1012, R5B
1013, R8
1014, C6-3A
1015, R5
1016, R4-1
1017, R4
1018, R4
1019, R4-1
1020, R6B
1021, R6B
1022, R6
1023, R5D
1024, R6B
1025, R6B
1026, R6
1027, C4-4A
1028, R5B
1029, R5B
1030, R6B
1031, R4B
1032, R5B
1033, R6B
1034, R6A
1035, R6B
1036, C4-3
1037, M1-1
1038, R6B
1039, R7B
1040, R6B
1041, R4
1042, R5
1043, C8-2
1044, R5D
1045, R6A
1046, R6B
